YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,11,22,7.15,Marsabit ,2.3286,37.9837
2013,1,11,23,6.88,Marsabit ,2.3286,37.9837
2013,1,12,0,6.5,Marsabit ,2.3286,37.9837
2013,1,12,1,6.09,Marsabit ,2.3286,37.9837
2013,1,12,2,5.74,Marsabit ,2.3286,37.9837
2013,1,12,3,5.58,Marsabit ,2.3286,37.9837
2013,1,12,4,6.16,Marsabit ,2.3286,37.9837
2013,1,12,5,7.75,Marsabit ,2.3286,37.9837
2013,1,12,6,8.34,Marsabit ,2.3286,37.9837
2013,1,12,7,8.9,Marsabit ,2.3286,37.9837
2013,1,12,8,9.77,Marsabit ,2.3286,37.9837
2013,1,12,9,9.69,Marsabit ,2.3286,37.9837
2013,1,12,10,9.36,Marsabit ,2.3286,37.9837
2013,1,12,11,9.02,Marsabit ,2.3286,37.9837
2013,1,12,12,8.7,Marsabit ,2.3286,37.9837
2013,1,12,13,8.34,Marsabit ,2.3286,37.9837
2013,1,12,14,7.98,Marsabit ,2.3286,37.9837
2013,1,12,15,7.76,Marsabit ,2.3286,37.9837
2013,1,12,16,7.77,Marsabit ,2.3286,37.9837
2013,1,12,17,7.68,Marsabit ,2.3286,37.9837
2013,1,12,18,7.4,Marsabit ,2.3286,37.9837
2013,1,12,19,7.62,Marsabit ,2.3286,37.9837
2013,1,12,20,7.92,Marsabit ,2.3286,37.9837
2013,1,12,21,8.22,Marsabit ,2.3286,37.9837
2013,1,12,22,8.44,Marsabit ,2.3286,37.9837
2013,1,12,23,8.63,Marsabit ,2.3286,37.9837
2013,1,13,0,8.38,Marsabit ,2.3286,37.9837
2013,1,13,1,7.98,Marsabit ,2.3286,37.9837
2013,1,13,2,7.81,Marsabit ,2.3286,37.9837
2013,1,13,3,7.97,Marsabit ,2.3286,37.9837
2013,1,13,4,7.97,Marsabit ,2.3286,37.9837
2013,1,13,5,7.71,Marsabit ,2.3286,37.9837
2013,1,13,6,7.66,Marsabit ,2.3286,37.9837
2013,1,13,7,7.24,Marsabit ,2.3286,37.9837
2013,1,13,8,8.4,Marsabit ,2.3286,37.9837
2013,1,13,9,8.4,Marsabit ,2.3286,37.9837
2013,1,13,10,8.19,Marsabit ,2.3286,37.9837
2013,1,13,11,8.14,Marsabit ,2.3286,37.9837
2013,1,13,12,7.94,Marsabit ,2.3286,37.9837
2013,1,13,13,7.66,Marsabit ,2.3286,37.9837
2013,1,13,14,7.43,Marsabit ,2.3286,37.9837
2013,1,13,15,7.35,Marsabit ,2.3286,37.9837
2013,1,13,16,7.37,Marsabit ,2.3286,37.9837
2013,1,13,17,7.32,Marsabit ,2.3286,37.9837
2013,1,13,18,7.42,Marsabit ,2.3286,37.9837
2013,1,13,19,7.94,Marsabit ,2.3286,37.9837
2013,1,13,20,8.18,Marsabit ,2.3286,37.9837
